Customer ID,Recency,Frequency,Monetary,Avg Shipping %,AOV,Cluster,R_Score,F_Score,M_Score,RFM_Score
CUST0061,68,2,1100,3.607916666666667,550.0,0,3,1,2,312
CUST0062,60,3,1700,2.3527777777777774,188.88888888888889,0,3,3,2,332
CUST0063,56,4,9550,9.672733333333333,682.1428571428571,1,3,3,5,335
CUST0064,65,7,14600,2.08325,858.8235294117648,2,3,5,5,355
CUST0065,31,5,6500,2.53465,361.1111111111111,1,4,4,4,444
CUST0066,76,5,4490,5.209433333333334,374.1666666666667,1,3,4,3,343
CUST0067,54,1,6000,0.24083333333333332,1500.0,0,3,1,4,314
CUST0068,99,4,1280,18.30229166666667,116.36363636363636,0,2,3,2,232
CUST0069,25,4,7700,2.40425,592.3076923076923,1,4,4,5,445
CUST0070,11,3,9200,0.8313592592592594,1022.2222222222222,1,5,3,5,535
CUST0071,22,6,3520,5.110884259259259,220.0,1,5,5,3,553
CUST0072,110,2,500,7.24,100.0,0,2,2,1,221
CUST0073,44,3,2300,1.7505555555555556,191.66666666666666,0,4,3,2,432
CUST0074,126,1,400,3.0075,200.0,0,2,1,1,211
CUST0075,138,2,750,2.9466666666666668,107.14285714285714,0,2,2,1,221
CUST0076,20,4,1930,11.738416666666668,160.83333333333334,0,5,4,2,542
CUST0077,249,4,2170,5.628166666666667,144.66666666666666,3,1,4,2,142
CUST0078,6,4,5800,2.7071458333333336,483.3333333333333,1,5,4,4,544
CUST0079,130,3,6500,3.879277777777778,812.5,0,2,3,4,234
CUST0080,96,3,5600,6.92261111111111,509.09090909090907,0,2,3,4,234
CUST0081,127,5,4200,2.3821000000000003,280.0,1,2,4,3,243
CUST0082,28,3,4900,1.3702152777777779,816.6666666666666,0,4,3,3,433
CUST0083,109,2,1600,5.4013333333333335,533.3333333333334,0,2,2,2,222
CUST0085,37,3,5050,2.9203333333333332,459.09090909090907,0,4,3,4,434
CUST0086,182,2,1600,1.819833333333333,228.57142857142858,3,1,2,2,122
CUST0087,157,4,4160,10.250750000000002,462.22222222222223,0,1,4,3,143
CUST0088,24,4,8300,1.6625833333333333,754.5454545454545,1,5,4,5,545
CUST0089,104,2,990,4.027222222222222,165.0,0,2,2,2,222
CUST0090,202,1,6000,0.15766666666666668,1500.0,3,1,1,4,114
CUST0091,18,6,7970,20.361937037037038,613.0769230769231,1,5,5,5,555
CUST0092,56,2,2550,5.520833333333333,318.75,0,3,2,2,322
CUST0093,243,2,1800,3.3939999999999992,300.0,3,1,2,2,122
CUST0094,10,2,1900,2.2268333333333334,380.0,0,5,2,2,522
CUST0095,13,9,22440,4.063103086419754,660.0,2,5,5,5,555
CUST0096,298,2,7200,0.35571875,800.0,3,1,2,4,124
CUST0097,190,2,800,4.904166666666667,200.0,3,1,2,1,121
CUST0098,307,1,400,2.21,100.0,3,1,1,1,111
CUST0099,87,2,6200,2.2011666666666665,1240.0,0,2,2,4,224
CUST0100,262,1,100,5.18,50.0,3,1,1,1,111
CUST0101,28,4,5500,2.079609375,366.6666666666667,1,4,4,4,444
CUST0102,72,1,900,1.1044444444444443,300.0,0,3,1,1,311
CUST0103,47,4,2110,9.9554375,162.30769230769232,0,4,4,2,442
CUST0104,74,3,600,7.37,66.66666666666667,0,3,3,1,331
CUST0105,1,6,5150,3.9004166666666666,271.05263157894734,1,5,5,4,554
CUST0106,25,5,11150,2.8209566666666666,655.8823529411765,1,4,4,5,445
CUST0107,59,3,6750,1.9811666666666665,482.14285714285717,0,3,3,4,334
CUST0108,74,1,100,6.849999999999999,50.0,0,3,1,1,311
CUST0109,115,5,6980,9.448566666666666,581.6666666666666,1,2,4,4,244
CUST0111,230,1,900,1.5322222222222222,300.0,3,1,1,1,111
CUST0112,24,4,9800,0.58578125,753.8461538461538,1,5,4,5,545
CUST0113,109,4,7800,3.019163194444445,557.1428571428571,1,2,4,5,245
CUST0114,142,3,3350,5.064814814814815,478.57142857142856,0,2,3,3,233
CUST0115,163,3,1590,3.331888888888889,122.3076923076923,0,1,3,2,132
CUST0116,93,5,1520,9.385111111111112,152.0,1,2,5,2,252
CUST0117,165,2,450,7.356666666666666,56.25,3,1,2,1,121
CUST0118,74,4,3450,9.332552083333333,345.0,0,3,4,3,343
CUST0120,162,2,550,5.902916666666667,78.57142857142857,3,1,2,1,121
CUST0121,20,2,1150,4.362833333333334,143.75,0,5,2,2,522
CUST0122,16,6,6100,4.076444444444444,435.7142857142857,1,5,5,4,554
CUST0123,40,2,7900,0.8529833333333333,1128.5714285714287,0,4,2,5,425
CUST0124,118,6,6000,2.3411215277777777,400.0,1,2,5,4,254
CUST0125,34,3,8600,0.6008333333333333,661.5384615384615,1,4,3,5,435
CUST0126,8,5,2560,3.7800333333333334,150.58823529411765,1,5,5,3,553
CUST0127,61,3,3800,1.8960416666666664,475.0,0,3,3,3,333
CUST0128,68,5,6300,2.015976388888889,393.75,1,3,5,4,354
CUST0129,48,5,13460,3.5589666666666657,708.421052631579,2,4,5,5,455
CUST0130,9,5,2650,2.6850555555555555,176.66666666666666,1,5,5,3,553
CUST0131,45,8,21180,6.9466328125,882.5,2,4,5,5,455
CUST0133,19,7,11100,2.3908373015873017,693.75,2,5,5,5,555
CUST0134,149,3,3200,3.540333333333333,228.57142857142858,0,2,3,3,233
CUST0135,209,1,200,6.860000000000001,200.0,3,1,1,1,111
CUST0136,51,3,500,5.932222222222222,35.714285714285715,0,4,3,1,431
CUST0137,24,5,8700,0.7896722222222221,457.89473684210526,1,5,5,5,555
CUST0138,24,4,12350,1.1091770833333332,950.0,1,5,4,5,545
CUST0139,1,7,18350,3.0682369047619047,834.0909090909091,2,5,5,5,555
CUST0140,221,3,1090,6.8620370370370365,181.66666666666666,3,1,3,2,132
CUST0141,90,2,1230,20.633333333333336,246.0,0,2,2,2,222
CUST0142,6,7,5150,2.4392738095238093,343.3333333333333,1,5,5,4,554
CUST0143,171,1,600,1.315,200.0,3,1,1,1,111
CUST0144,31,5,17320,2.6555416666666667,787.2727272727273,2,4,5,5,455
CUST0145,24,3,2300,2.4692777777777777,255.55555555555554,0,5,3,2,532
CUST0146,112,2,5300,0.7335555555555555,1325.0,0,2,2,4,224
CUST0147,355,1,400,2.815,200.0,3,1,1,1,111
CUST0148,53,5,1670,7.98471111111111,92.77777777777777,1,3,5,2,352
CUST0149,5,5,3850,2.911366666666667,240.625,1,5,5,3,553
CUST0150,131,4,5950,3.1691527777777777,396.6666666666667,1,2,4,4,244
CUST0152,48,6,5730,8.63523611111111,272.85714285714283,1,4,5,4,454
CUST0153,41,3,860,5.342444444444443,107.5,0,4,3,1,431
CUST0154,25,4,1580,9.803958333333332,225.71428571428572,0,4,4,2,442
CUST0155,82,4,3800,4.822583333333334,542.8571428571429,0,3,4,3,343
CUST0156,3,4,12000,1.6860197916666668,800.0,1,5,4,5,545
CUST0157,224,1,200,4.135,50.0,3,1,1,1,111
CUST0158,90,3,2300,3.036111111111111,287.5,0,2,3,2,232
CUST0159,67,6,6650,7.326685185185185,475.0,1,3,5,4,354
CUST0160,47,6,13750,1.7232916666666667,808.8235294117648,2,4,5,5,455
CUST0161,363,1,600,2.983333333333333,200.0,3,1,1,1,111
CUST0162,84,3,5400,2.6992037037037035,675.0,0,3,3,4,334
CUST0163,81,1,300,2.0533333333333332,100.0,0,3,1,1,311
CUST0164,291,1,900,1.2466666666666668,300.0,3,1,1,1,111
CUST0165,7,2,250,13.9,50.0,0,5,2,1,521
CUST0166,43,1,120,9.466666666666667,30.0,0,4,1,1,411
CUST0167,18,2,800,3.58,160.0,0,5,2,1,521
CUST0168,46,5,3250,10.310875000000001,325.0,1,4,5,3,453
CUST0169,126,1,300,3.7700000000000005,300.0,0,2,1,1,211
CUST0170,10,2,250,9.88,35.714285714285715,0,5,2,1,521
CUST0171,352,1,500,2.7399999999999998,100.0,3,1,1,1,111
CUST0172,39,2,1620,2.5748333333333333,180.0,0,4,2,2,422
CUST0173,10,4,9250,7.441555555555556,770.8333333333334,1,5,4,5,545
CUST0174,20,7,5630,6.926616071428571,255.9090909090909,1,5,5,4,554
CUST0176,46,5,12400,3.2449333333333334,775.0,2,4,5,5,455
CUST0177,289,3,1430,14.106527777777778,178.75,3,1,3,2,132
CUST0178,65,4,11100,1.4741625,792.8571428571429,1,3,4,5,345
CUST0179,49,3,4500,6.702013888888889,450.0,0,4,3,3,433
CUST0180,75,3,3950,7.858740740740742,658.3333333333334,0,3,3,3,333
CUST0181,70,2,1800,1.4816666666666667,257.14285714285717,0,3,2,2,322
CUST0182,69,5,5080,13.912808333333334,338.6666666666667,1,3,5,4,354
CUST0183,72,3,3450,2.680648148148148,313.6363636363636,0,3,3,3,333
CUST0184,124,3,4890,6.090824074074074,543.3333333333334,0,2,3,3,233
CUST0185,10,3,9200,1.591,657.1428571428571,1,5,3,5,535
CUST0186,73,5,3480,6.896166666666666,267.6923076923077,1,3,5,3,353
CUST0187,69,2,7700,1.9455,855.5555555555555,0,3,2,5,325
CUST0188,159,3,5350,2.9568888888888885,445.8333333333333,0,1,3,4,134
CUST0189,166,4,5080,11.437944444444444,508.0,0,1,4,4,144
CUST0190,187,1,200,7.655000000000001,50.0,3,1,1,1,111
CUST0191,153,1,6000,0.11266666666666666,1500.0,0,2,1,4,214
CUST0192,50,2,830,19.606458333333336,166.0,0,4,2,1,421
CUST0193,56,4,7500,3.412236111111111,500.0,1,3,4,4,344
CUST0194,260,2,60,49.916666666666664,30.0,3,1,2,1,121
CUST0195,62,3,1300,5.532222222222221,118.18181818181819,0,3,3,2,332
CUST0196,5,7,6590,5.544190476190477,313.8095238095238,1,5,5,4,554
CUST0197,23,5,16150,6.232572222222222,897.2222222222222,2,5,5,5,555
CUST0198,2,4,8500,1.1655625,708.3333333333334,1,5,4,5,545
CUST0199,101,5,6250,5.040462499999999,446.42857142857144,1,2,5,4,254
CUST0200,148,4,16700,0.32763472222222223,1284.6153846153845,2,2,4,5,245
CUST0201,7,7,6860,5.818912698412698,490.0,1,5,5,4,554
CUST0202,208,3,4490,3.6412777777777783,374.1666666666667,3,1,3,3,133
CUST0203,88,5,12480,7.421662222222222,832.0,2,2,5,5,255
CUST0204,73,9,29100,0.7339009259259259,881.8181818181819,2,3,5,5,355
CUST0205,84,2,700,4.047499999999999,175.0,0,3,2,1,321
CUST0206,140,2,7700,4.1494333333333335,855.5555555555555,0,2,2,5,225
CUST0207,293,1,1500,0.344,1500.0,3,1,1,2,112
CUST0208,104,5,2720,4.387066666666667,226.66666666666666,1,2,5,3,253
CUST0209,323,1,250,2.352,50.0,3,1,1,1,111
CUST0210,1,3,3400,1.860111111111111,425.0,0,5,3,3,533
CUST0211,7,4,5640,10.895451388888889,402.85714285714283,1,5,4,4,544
CUST0212,44,4,10060,5.855183333333333,838.3333333333334,1,4,4,5,445
CUST0213,62,2,2200,1.0739999999999998,244.44444444444446,0,3,2,2,322
CUST0214,91,1,600,1.5150000000000001,300.0,0,2,1,1,211
CUST0215,156,2,1590,5.536,198.75,0,1,2,2,122
CUST0216,66,5,6010,4.621440277777777,375.625,1,3,5,4,354
CUST0217,73,1,90,13.0,30.0,0,3,1,1,311
CUST0218,59,5,9150,2.1165833333333337,538.2352941176471,1,3,5,5,355
CUST0219,95,4,510,10.019833333333334,51.0,0,2,4,1,241
CUST0220,176,4,3650,9.974083333333333,304.1666666666667,0,1,4,3,143
CUST0221,61,3,1110,11.387407407407409,138.75,0,3,3,2,332
CUST0222,49,2,1660,11.6378125,415.0,0,4,2,2,422
CUST0223,220,2,7560,12.661733333333332,1080.0,3,1,2,4,124
CUST0224,19,2,1600,2.079375,320.0,0,5,2,2,522
CUST0225,44,4,1640,8.782152777777778,149.0909090909091,0,4,4,2,442
CUST0226,85,3,6600,2.9391666666666665,660.0,0,3,3,4,334
CUST0227,25,4,3350,4.481250000000001,223.33333333333334,1,4,4,3,443
CUST0228,25,6,5370,9.4525,413.0769230769231,1,4,5,4,454
CUST0229,107,4,1090,5.418819444444445,121.11111111111111,0,2,4,2,242
CUST0230,52,1,6000,0.25199999999999995,1500.0,0,4,1,4,414
CUST0231,32,2,7600,6.7990666666666675,1085.7142857142858,0,4,2,4,424
CUST0232,55,4,9190,6.016333333333333,919.0,1,3,4,5,345
CUST0233,296,1,600,3.231666666666667,200.0,3,1,1,1,111
CUST0234,111,2,7700,2.0419666666666667,1283.3333333333333,0,2,2,5,225
CUST0235,268,2,800,3.1996666666666673,133.33333333333334,3,1,2,1,121
CUST0236,135,3,7600,4.094555555555556,1085.7142857142858,0,2,3,4,234
CUST0238,47,4,1120,14.394895833333333,93.33333333333333,0,4,4,2,442
CUST0239,44,4,3950,3.90359375,282.14285714285717,1,4,4,3,443
CUST0240,11,5,2900,6.054333333333334,207.14285714285714,1,5,5,3,553
CUST0241,175,3,3350,14.598541666666668,478.57142857142856,3,1,3,3,133
CUST0242,2,3,4800,1.3688680555555557,400.0,0,5,3,3,533
CUST0243,141,2,1700,2.588,188.88888888888889,0,2,2,2,222
CUST0244,314,1,300,2.83,100.0,3,1,1,1,111
CUST0245,5,3,1720,20.331180555555555,286.6666666666667,0,5,3,2,532
CUST0246,94,1,900,1.7522222222222221,300.0,0,2,1,1,211
CUST0247,153,4,5600,3.864604166666667,700.0,1,2,4,4,244
CUST0248,127,2,1800,1.9056666666666668,900.0,0,2,2,2,222
CUST0249,350,1,1500,1.0653333333333335,300.0,3,1,1,2,112
CUST0250,34,3,3500,2.097972222222222,700.0,0,4,3,3,433
CUST0251,44,3,5460,10.827583333333335,780.0,0,4,3,4,434
CUST0252,77,3,2100,1.433888888888889,161.53846153846155,0,3,3,2,332
CUST0253,98,6,7750,3.2265833333333336,387.5,1,2,5,5,255
CUST0254,7,1,60,12.6,30.0,0,5,1,1,511
CUST0255,46,3,5700,1.7462777777777774,950.0,0,4,3,4,434
CUST0256,86,4,8250,1.7929444444444445,550.0,1,2,4,5,245
CUST0257,355,1,60,31.716666666666672,30.0,3,1,1,1,111
CUST0258,162,3,6000,1.387574074074074,750.0,0,1,3,4,134
CUST0259,45,3,3960,10.894814814814815,565.7142857142857,0,4,3,3,433
CUST0260,171,2,1500,1.5477777777777777,300.0,3,1,2,2,122
CUST0261,53,2,7590,6.61188888888889,948.75,0,3,2,4,324
CUST0262,70,2,320,11.282499999999999,64.0,0,3,2,1,321
CUST0263,110,4,2400,3.76953125,342.85714285714283,0,2,4,2,242
CUST0264,6,6,6150,5.690729166666667,307.5,1,5,5,4,554
CUST0265,32,2,500,3.246666666666666,71.42857142857143,0,4,2,1,421
CUST0266,54,3,4350,4.087833333333333,395.45454545454544,0,3,3,3,333
CUST0267,214,1,4500,0.31622222222222224,1500.0,3,1,1,3,113
CUST0268,24,5,3540,4.869411111111111,208.23529411764707,1,5,5,3,553
CUST0269,29,4,10500,1.3883083333333333,617.6470588235294,1,4,4,5,445
CUST0270,134,4,2850,11.0155,285.0,0,2,4,3,243
CUST0271,42,5,2170,7.301566666666666,127.6470588235294,1,4,5,2,452
CUST0272,106,6,9180,6.769912037037037,540.0,1,2,5,5,255
CUST0273,77,4,4390,4.587236111111111,365.8333333333333,1,3,4,3,343
CUST0274,4,3,8950,2.2793555555555556,639.2857142857143,1,5,3,5,535
CUST0276,31,7,9230,7.991440476190476,485.7894736842105,1,4,5,5,455
CUST0278,337,1,600,1.7016666666666669,200.0,3,1,1,1,111
CUST0279,38,4,4180,11.900680555555555,380.0,1,4,4,3,443
CUST0280,203,3,1050,10.517916666666666,116.66666666666667,3,1,3,2,132
CUST0281,35,8,17850,3.578683333333333,714.0,2,4,5,5,455
CUST0282,33,4,10600,0.5898541666666666,883.3333333333334,1,4,4,5,445
CUST0283,54,4,5840,2.8351736111111108,417.14285714285717,1,3,4,4,344
CUST0284,153,5,2550,4.555755555555555,182.14285714285714,1,2,5,3,253
CUST0285,212,3,3700,2.3922222222222222,462.5,3,1,3,3,133
CUST0286,286,2,1600,3.578333333333334,533.3333333333334,3,1,2,2,122
CUST0287,186,1,3200,0.3121875,800.0,3,1,1,3,113
CUST0288,181,5,9750,3.626766666666667,750.0,1,1,5,5,155
CUST0289,44,2,8500,0.3245333333333333,850.0,0,4,2,5,425
CUST0290,93,3,1600,1.273611111111111,133.33333333333334,0,2,3,2,232
CUST0291,217,4,2630,6.183888888888888,239.0909090909091,3,1,4,3,143
CUST0292,222,1,120,11.4,30.0,3,1,1,1,111
CUST0293,45,5,14200,0.9931644444444444,835.2941176470588,2,4,5,5,455
CUST0294,112,1,150,13.219999999999999,30.0,0,2,1,1,211
CUST0295,1,4,8830,12.503354166666668,883.0,1,5,4,5,545
CUST0296,6,5,5630,13.490816666666666,433.0769230769231,1,5,5,4,554
CUST0297,83,2,1200,2.175,300.0,0,3,2,2,322
CUST0298,51,4,5420,2.561359375,361.3333333333333,1,4,4,4,444
CUST0299,16,6,9460,5.078597222222223,411.30434782608694,1,5,5,5,555
CUST0300,78,2,890,7.484097222222222,127.14285714285714,0,3,2,1,321
